,rumor,text
rumor0,0,刚吃完饭的时候，我们的胃肠舞动是增强的心跳和血液循环都会加快这个时候吸烟实际上会增加烟雾中有害物质包括尼古丁一氧化碳的吸收，饭后一根烟其实相当于平常抽七点五根烟的毒害。
rumor1!,1,喝热水能提高代谢
rumor2!,1,有高危因素就一定会得胃癌
rumor3!,1,高血压患者通过一些运动调节饮食，减轻体重，然后戒烟戒酒等等。这些非药物的治疗，血压降到正常之后就把药停了。
rumor4,0,胃最怕怕寒了，饮食会让胃蠕动减慢，还会引起胃肠痉挛产生腹胀，腹痛，腹泻，发胖，长期过热，过烫饮食容易诱发食管癌过多过快饮食会加重胃蠕动的负担出现腹胀。
rumor5,0,动脉取栓的这个技术是假的，大面积心衰病人后来状况日后非常非常得不好。所以我们不能听网络视频宣传，一定要相信科学，相信医生看病，到正规医院听大夫的话。
rumor6,0,酒后喝汽水不仅不能解酒，反而比单独喝酒更伤身体，因为碳酸饮料会加快胃肠道对酒精的吸收
rumor7,0,肥胖的人你本身脂肪的含量就比别人高那你产生这种血止相关的心脑血管的不良事件的风险就要比别人大
rumor8,0,降低心血管病死亡重要因干预，改掉一些不好的生活习惯，戒烟，戒酒啊，运动，饮食啊，精神，心理方面，睡眠，睡眠会暂停，等等。
rumor9!,1,喝酒脸红代表酒量大
rumor10,0,剧烈的头痛是脑出血最主要最早期的症状一旦有脑出血引起剧烈头痛开始这种头痛可能是权限大一点很快就会蔓延到整个头部脑出血的患者在发病的前期有不同程度的眩晕症状可能会类似于酒后站不稳或者是感觉到天旋地转症状重的才会突然的摔倒偶吐后吐是无血压的一个表现它往往是因为脑出血之后颅内压迅速地增高这种呕吐典型的我们叫喷射性的呕吐如果突然出现的一侧肢体的麻木和无力
rumor11,0,视频里讲得很清楚了，死亡率非常高但是我也讲了百分之八十以上的主动脉夹层都和高血压没有控制好相关但是这里面很重要的一点啊，因为你的血压没有控制好导致的主动脉夹层，所以这个道理特别讲到，就主动脉，就像我们家里人供水？的水？的主管，道他很粗然后，呢？这个血压高就像碾，压那水？的压力很高看，看，我们继续来讲至少还了，主动脉夹层夹层有多危险什么？情况做才能我山，千院好大夫？刚才做了，个搞笑的视频逗你们开心一下开心吗？
rumor12!,1,保健品可以治疗心脑血管疾病。
rumor13!,1,剃成光头就不会有头皮屑
rumor14!,1,精加工后的白米饭只剩下糖和淀粉，食用容易引发多种疾病，白米饭是“垃圾食物之王”
rumor15,0,要讲给我的医疗同行听你们你们听一听而当平均血压就二小时这个平均血压大于等于一百三八十就可以诊断高血压了或者是白天的平均血压大于等于一二百三八十五夜间的平均血压大于等于一百二七十也可以诊断高血压讲二十四小时动态血压在我们高血压诊断中的一个重要作用高血压的诊断标准跟着好大夫一起管理好你的血压
rumor16!,1,发芽的土豆能吃。
rumor17,0,在家中突发胸痛的时候要安静地坐下或者是平卧。
rumor18,0,虽然现在我们不要求所有的患者都要进行口对口人工呼吸我们要评估这个患者是否需要进行心肺复苏对于没有经过培训的人员可以不要求做口对口人工呼吸但是胸外按压一定要持续如果有条件的话进行多轮心肺复苏有人做胸外按压或者是有人送来的火苗进行除颤了这时候要停止复苏我们都希望每一个病人都能被我们救活我们都希望能把他们平安的送到医务人员的手里在这跟他分享了这些关于心肺复苏的这些视频
rumor19,0,头疼的时候千万别说歇一歇要去测血压家里要背血压计你平常测血压记录血压的测量和气度出现的剧烈的头痛你得立刻打急救电话突然一侧手脚麻木无力啊，或者是面瘫，口齿不清立刻去医院从发病到救治三到四点五个小时是一个黄金时间更能够改善你今后的长期生活质量
rumor20!,1,是药三分毒，能不吃就不吃。
rumor21,0,我说的不一样的，唉，不说了，因为你不能保证这些地方都有这些监控对把这次是很好的人监控，都把这个事情的还原了大家才知道是怎么回事儿如果你在外面这句话不让，不仅能够听得懂啊，我不想这种事情发生。
rumor22,0,现在脑部手术很多是微创手术，微创手术如果是想介入手术，对女性一般来讲是没有影响的。开颅手术，如果是开放性的开颅手术，伤口长好了，没有脑筋露，那么也是可以长途旅行的。
rumor23,0,昨天看到一个粉丝给我留言如何鉴别在家里发生的脑梗猜我觉得可以从三个症状来鉴别第一个突然出现的一侧肢体的无力或者是麻木合并无力第二是突然出现的面瘫，嘴巴向一边歪或者是流口水第三呢，有的突然言语不清不能表达或者听不懂其他人的意思一旦出现了这三，种情况我觉得就是要快速地拨打幺二零到医院来进行救治
rumor24,0,脑血管介入手术的风险整体相对来讲还是可控做颈动脉支架的植入手术主要是术中出现得了血栓，那血管痉挛这种风险总体的风险大概百分之二到三左右如果是做动脉瘤的手术，其实主要的风险是畜生动脉瘤的破裂有百分之十到十五的这种死亡率还有麻醉的风险因为现在手术很多都需要用全麻那么麻醉对于一些患者特别是有心肺功能不良的患者来讲也会有一些额外的风险介入手术的风险是可控的也是比较低的
rumor25,0,血管内没有垃圾，只是一些正常的代谢产物可以通过特定的器官排出去。
rumor26,0,年轻也会得脑梗，跟现代年轻人的生活和工作状态有关系，生活压力大，久坐少运动，特别是现在很多年轻人，大腹便便，他们都是脑梗塞的。工作繁忙。
rumor27,0,我们做支架的目的，对于急性心梗的病人来讲，是为了快速地开通血管保存存活的信息，对于心绞痛的病人来讲，我们是为了把这个狭窄的血管做通让达到一个更好的环境里心绞痛的这样一个目的。
rumor28,0,预防餐后低血压第二个就是我们每顿饭不要吃得过多和过饱着，那么可以采取少食多餐的一些类型，那么在饮食结构上不要过多地食用米面，这种碳水化合物的食物，可以适当增加一些蛋白质类的食物。
rumor29,0,老太太陪着老玩家老头天天喝酒，夫妻相择校点儿别的好不好啊？老太太放一个支架啊，这个夫妻相啊，吃了特别的有老头一百八十斤老太太抽烟要有健康生活方式的守卫。
rumor30!,1,多挨冻对身体关节影响不大
rumor31!,1,“睡眠惊跳”对睡眠质量的影响没法改善
rumor32,0,是不是每年都是反复咳嗽咳痰的？还一个特点重兵往往很多这样的病人？但是它有一个很明显特点就吃不进去饭而恶心很多这样的病人都是有心衰的表现，就心衰也会出像这种类型的一个改变还有就是必然会有明显中咳嗽。
rumor33,0,突然的血压增高，头晕特有症状，包括一氧化碳等等一些有害的物质都会刺激你的血管神经是会造成你这个高血压的一个突然的发生，抽了四颗烟，烟特别的敏感。
rumor34!,1,吃蕨菜一定会致癌
rumor35,0,高血压的症状有头胀，头痛，头昏胸闷心悸耳鸣，总觉得疲乏无力，手脚麻木。
rumor36,0,这种输液通血管的想法，看似说得通，可事实上，血管上的斑块都是在血管壁内膜下方形成的脂质“垃圾”，根本不可能通过输液来把它们“冲走”。液循环系统本身也是一个闭合的通路，通过输注葡萄糖或生理盐水冲洗疏通血管的目标也不可能实现
rumor37!,1,孕妇吃了山楂会引起宫缩，导致流产
